,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,clusters,cluster
0,153.0,3.575,0.32,0.303,0.303,0.234,0.097,0.365,0,pink
1,154.0,3.36,0.382,0.11,0.173,0.164,0.071,0.313,0,pink
2,141.0,3.794,0.401,0.582,0.181,0.106,0.312,0.061,0,pink
3,145.0,3.632,0.332,0.537,0.255,0.085,0.191,0.036,0,pink
4,154.0,3.203,0.35,0.517,0.361,0.0,0.158,0.025,0,pink
5,95.0,4.959,0.879,0.804,0.813,0.357,0.064,0.143,2,dark purple
6,109.0,4.655,0.955,0.502,0.73,0.319,0.053,0.168,0,pink
7,109.0,4.644,0.996,0.804,0.731,0.381,0.201,0.04,0,pink
8,112.0,4.586,0.916,0.817,0.79,0.419,0.149,0.032,0,pink
9,107.0,4.719,0.947,0.848,0.874,0.383,0.178,0.027,0,pink
10,68.0,5.605,0.939,1.078,0.618,0.286,0.174,0.078,2,dark purple
11,38.0,6.355,1.053,0.833,0.618,0.21,0.162,0.07,1,purple
12,53.0,5.872,1.092,1.146,0.618,0.233,0.069,0.146,2,dark purple
13,84.0,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2,dark purple
14,88.0,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2,dark purple
15,137.0,4.033,0.758,0.86,0.167,0.104,0.071,0.123,0,pink
16,141.0,3.866,0.847,0.664,0.05,0.006,0.084,0.121,0,pink
17,140.0,3.795,0.858,1.104,0.05,0.0,0.098,0.07,0,pink
18,142.0,3.795,0.73,1.125,0.269,0.0,0.079,0.061,0,pink
19,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
20,30.0,6.574,1.054,1.248,0.787,0.45,0.085,0.115,1,purple
21,26.0,6.65,1.151,1.066,0.697,0.423,0.073,0.11,1,purple
22,24.0,6.599,1.185,1.44,0.695,0.495,0.109,0.06,1,purple
23,29.0,6.388,1.073,1.468,0.744,0.57,0.062,0.054,1,purple
24,47.0,6.086,1.092,1.432,0.881,0.471,0.066,0.05,1,purple
25,127.0,4.35,0.768,0.777,0.73,0.198,0.039,0.079,0,pink
26,121.0,4.36,0.861,0.625,0.641,0.14,0.036,0.078,0,pink
27,121.0,4.376,0.901,1.007,0.638,0.198,0.083,0.027,0,pink
28,129.0,4.321,0.816,0.99,0.666,0.26,0.077,0.028,0,pink
29,116.0,4.559,0.85,1.055,0.815,0.283,0.095,0.064,0,pink
30,10.0,7.284,1.334,1.309,0.932,0.651,0.356,0.436,1,purple
31,9.0,7.313,1.444,1.105,0.851,0.568,0.323,0.474,1,purple
32,10.0,7.284,1.484,1.51,0.844,0.602,0.478,0.301,1,purple
33,10.0,7.272,1.34,1.573,0.91,0.647,0.361,0.302,1,purple
34,11.0,7.228,1.372,1.548,1.036,0.557,0.332,0.29,1,purple
35,13.0,7.2,1.337,1.297,0.89,0.624,0.187,0.331,1,purple
36,12.0,7.119,1.45,1.084,0.806,0.544,0.213,0.329,1,purple
37,13.0,7.006,1.487,1.46,0.815,0.568,0.316,0.221,1,purple
38,12.0,7.139,1.341,1.504,0.891,0.617,0.242,0.224,1,purple
39,10.0,7.246,1.376,1.475,1.016,0.532,0.244,0.226,1,purple
40,80.0,5.212,1.024,0.938,0.64,0.37,0.161,0.078,2,dark purple
41,81.0,5.291,1.124,0.76,0.545,0.353,0.179,0.056,2,dark purple
42,85.0,5.234,1.154,1.152,0.541,0.398,0.045,0.181,2,dark purple
43,87.0,5.201,1.024,1.161,0.603,0.43,0.031,0.176,2,dark purple
44,90.0,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2,dark purple
45,49.0,5.96,1.324,1.216,0.747,0.455,0.306,0.174,1,purple
46,42.0,6.218,1.44,0.944,0.657,0.474,0.258,0.171,1,purple
47,41.0,6.087,1.488,1.323,0.653,0.537,0.173,0.257,1,purple
48,43.0,6.105,1.338,1.366,0.698,0.594,0.243,0.123,1,purple
49,37.0,6.199,1.362,1.368,0.871,0.536,0.255,0.11,1,purple
50,109.0,4.694,0.398,0.431,0.602,0.408,0.126,0.212,0,pink
51,110.0,4.643,0.542,0.247,0.53,0.398,0.126,0.191,0,pink
52,110.0,4.608,0.587,0.735,0.533,0.478,0.172,0.124,0,pink
53,115.0,4.5,0.532,0.85,0.579,0.58,0.153,0.144,0,pink
54,125.0,4.456,0.562,0.928,0.723,0.527,0.166,0.143,0,pink
55,59.0,5.813,1.032,1.233,0.736,0.379,0.191,0.11,2,dark purple
56,61.0,5.802,1.131,1.05,0.631,0.291,0.175,0.139,2,dark purple
57,67.0,5.569,1.157,1.445,0.638,0.295,0.155,0.156,2,dark purple
58,73.0,5.483,1.039,1.498,0.7,0.307,0.101,0.154,2,dark purple
59,81.0,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2,dark purple
60,19.0,6.937,1.308,1.286,0.897,0.585,0.225,0.223,1,purple
61,18.0,6.929,1.425,1.052,0.82,0.514,0.262,0.242,1,purple
62,17.0,6.891,1.464,1.462,0.818,0.54,0.232,0.251,1,purple
63,16.0,6.927,1.324,1.483,0.894,0.583,0.188,0.24,1,purple
64,18.0,6.923,1.356,1.504,0.986,0.473,0.16,0.21,1,purple
65,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
66,52.0,5.956,0.876,0.687,0.456,0.512,0.108,0.237,2,dark purple
67,50.0,5.956,0.908,1.081,0.45,0.548,0.24,0.097,1,purple
68,49.0,5.956,0.807,1.101,0.474,0.593,0.183,0.089,1,purple
69,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
70,155.0,3.34,0.287,0.354,0.319,0.485,0.08,0.183,0,pink
71,153.0,3.484,0.395,0.104,0.21,0.397,0.067,0.202,0,pink
72,143.0,3.657,0.431,0.435,0.21,0.426,0.208,0.061,0,pink
73,136.0,4.141,0.378,0.372,0.24,0.44,0.163,0.067,0,pink
74,102.0,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2,dark purple
75,79.0,5.253,0.77,1.104,0.574,0.532,0.154,0.48,2,dark purple
76,84.0,5.196,0.853,0.908,0.498,0.461,0.162,0.485,2,dark purple
77,97.0,5.011,0.885,1.34,0.496,0.502,0.474,0.173,2,dark purple
78,97.0,5.082,0.796,1.335,0.527,0.541,0.364,0.171,2,dark purple
79,95.0,5.082,0.813,1.321,0.604,0.457,0.37,0.167,2,dark purple
80,51.0,5.89,0.681,0.978,0.539,0.574,0.088,0.205,1,purple
81,59.0,5.822,0.794,0.838,0.47,0.51,0.077,0.217,2,dark purple
82,58.0,5.823,0.834,1.228,0.474,0.559,0.226,0.06,2,dark purple
83,62.0,5.752,0.751,1.223,0.508,0.606,0.141,0.054,2,dark purple
84,61.0,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2,dark purple
85,96.0,4.949,0.832,0.919,0.791,0.092,0.002,0.248,2,dark purple
86,87.0,5.163,0.934,0.644,0.708,0.095,0.0,0.299,2,dark purple
87,90.0,5.182,0.982,1.069,0.705,0.204,0.329,0.0,2,dark purple
88,93.0,5.129,0.915,1.078,0.758,0.28,0.216,0.0,2,dark purple
89,78.0,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2,dark purple
90,128.0,4.332,0.994,1.105,0.048,0.495,0.125,0.105,0,pink
91,137.0,3.974,1.094,0.892,0.348,0.441,0.108,0.124,0,pink
92,142.0,3.766,1.122,1.222,0.342,0.505,0.099,0.099,0,pink
93,146.0,3.59,1.017,1.174,0.417,0.557,0.042,0.092,0,pink
94,148.0,3.488,1.041,1.145,0.538,0.455,0.025,0.1,0,pink
95,16.0,6.983,0.981,1.233,0.697,0.49,0.175,0.146,1,purple
96,17.0,6.952,1.088,1.039,0.614,0.404,0.142,0.158,1,purple
97,22.0,6.635,1.107,1.431,0.617,0.437,0.162,0.111,1,purple
98,28.0,6.419,0.986,1.474,0.675,0.493,0.11,0.088,1,purple
99,32.0,6.3,1.004,1.439,0.802,0.39,0.099,0.086,1,purple
100,134.0,4.218,1.012,1.106,0.766,0.306,0.009,0.119,0,pink
101,129.0,4.217,1.113,0.925,0.678,0.212,0.006,0.128,0,pink
102,105.0,4.714,1.161,1.434,0.708,0.289,0.113,0.011,0,pink
103,100.0,4.933,1.054,1.515,0.712,0.359,0.064,0.009,2,dark purple
104,97.0,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2,dark purple
105,152.0,3.587,0.258,0.852,0.271,0.395,0.128,0.217,0,pink
106,145.0,3.739,0.32,0.631,0.213,0.334,0.125,0.244,0,pink
107,134.0,4.032,0.35,1.043,0.216,0.324,0.251,0.12,0,pink
108,121.0,4.424,0.314,1.097,0.254,0.312,0.175,0.128,0,pink
109,115.0,4.587,0.331,1.056,0.38,0.255,0.177,0.113,0,pink
110,157.0,2.905,0.015,0.416,0.224,0.119,0.101,0.197,0,pink
111,157.0,2.905,0.068,0.234,0.157,0.043,0.094,0.203,0,pink
112,154.0,2.905,0.092,0.63,0.152,0.06,0.204,0.084,0,pink
113,156.0,2.905,0.091,0.627,0.145,0.065,0.149,0.076,0,pink
114,145.0,3.775,0.046,0.447,0.38,0.22,0.176,0.18,0,pink
115,145.0,3.819,0.46,0.627,0.611,0.662,0.072,0.404,0,pink
116,140.0,3.907,0.556,0.538,0.425,0.589,0.081,0.403,0,pink
117,129.0,4.168,0.602,1.006,0.43,0.633,0.386,0.068,0,pink
118,120.0,4.433,0.549,1.088,0.457,0.696,0.256,0.065,0,pink
119,109.0,4.7,0.574,1.122,0.637,0.609,0.232,0.062,0,pink
120,133.0,4.252,0.423,0.888,0.234,0.493,0.058,0.206,0,pink
121,114.0,4.513,0.525,0.625,0.127,0.427,0.061,0.227,0,pink
122,107.0,4.695,0.564,0.946,0.133,0.43,0.236,0.051,0,pink
123,99.0,4.975,0.535,0.891,0.182,0.454,0.183,0.043,2,dark purple
124,96.0,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2,dark purple
125,5.0,7.427,1.326,1.323,0.906,0.633,0.33,0.458,1,purple
126,6.0,7.404,1.44,1.096,0.828,0.574,0.313,0.448,1,purple
127,7.0,7.316,1.479,1.481,0.835,0.611,0.436,0.287,1,purple
128,7.0,7.328,1.33,1.532,0.896,0.653,0.321,0.291,1,purple
129,9.0,7.278,1.365,1.505,1.039,0.584,0.285,0.308,1,purple
130,148.0,3.678,0.079,0.0,0.067,0.489,0.083,0.238,0,pink
131,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
132,155.0,2.693,0.0,0.0,0.019,0.271,0.281,0.057,0,pink
133,155.0,3.083,0.024,0.0,0.01,0.305,0.218,0.038,0,pink
134,155.0,3.083,0.026,0.0,0.105,0.225,0.235,0.035,0,pink
135,149.0,3.667,0.342,0.761,0.15,0.235,0.053,0.184,0,pink
136,144.0,3.763,0.422,0.632,0.038,0.128,0.05,0.187,0,pink
137,137.0,3.936,0.438,0.954,0.041,0.162,0.216,0.054,0,pink
138,131.0,4.301,0.358,0.907,0.053,0.189,0.181,0.06,0,pink
139,132.0,4.35,0.35,0.766,0.192,0.174,0.198,0.078,0,pink
140,27.0,6.67,1.107,1.124,0.859,0.441,0.129,0.334,1,purple
141,24.0,6.705,1.217,0.906,0.819,0.378,0.115,0.316,1,purple
142,20.0,6.652,1.253,1.284,0.819,0.377,0.327,0.082,1,purple
143,25.0,6.476,1.131,1.331,0.808,0.431,0.197,0.061,1,purple
144,26.0,6.444,1.159,1.369,0.92,0.357,0.187,0.056,1,purple
145,84.0,5.14,0.89,0.947,0.817,0.517,0.028,0.082,2,dark purple
146,83.0,5.245,1.028,0.794,0.736,0.44,0.027,0.05,2,dark purple
147,79.0,5.273,1.081,1.161,0.741,0.473,0.029,0.023,2,dark purple
148,86.0,5.246,0.989,1.142,0.799,0.597,0.029,0.103,2,dark purple
149,93.0,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2,dark purple
150,33.0,6.477,0.919,1.24,0.691,0.535,0.051,0.184,1,purple
151,31.0,6.481,1.03,1.022,0.597,0.447,0.054,0.156,1,purple
152,36.0,6.357,1.071,1.402,0.595,0.477,0.149,0.047,1,purple
153,37.0,6.26,0.96,1.439,0.635,0.531,0.099,0.039,1,purple
154,43.0,6.125,0.985,1.41,0.841,0.47,0.099,0.034,1,purple
155,140.0,3.956,0.239,0.793,0.363,0.229,0.199,0.174,0,pink
156,138.0,3.956,0.275,0.603,0.3,0.154,0.184,0.183,0,pink
157,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
158,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
159,142.0,3.973,0.274,0.757,0.505,0.142,0.275,0.078,0,pink
160,139.0,3.989,0.679,0.663,0.311,0.415,0.117,0.124,0,pink
161,127.0,4.236,0.771,0.478,0.282,0.379,0.098,0.121,0,pink
162,124.0,4.291,0.809,0.832,0.29,0.435,0.121,0.08,0,pink
163,114.0,4.559,0.682,0.811,0.343,0.514,0.091,0.077,0,pink
164,103.0,4.812,0.673,0.799,0.508,0.372,0.105,0.093,2,dark purple
165,120.0,4.517,0.0,1.001,0.098,0.226,0.076,0.248,0,pink
166,125.0,4.272,0.057,0.807,0.188,0.156,0.061,0.255,0,pink
167,126.0,4.28,0.092,1.229,0.191,0.236,0.246,0.06,0,pink
168,132.0,4.245,0.069,1.136,0.204,0.312,0.197,0.052,0,pink
169,127.0,4.418,0.094,1.125,0.357,0.269,0.212,0.053,0,pink
170,12.0,7.226,0.956,1.238,0.86,0.634,0.106,0.255,1,purple
171,14.0,7.087,1.069,1.022,0.761,0.552,0.105,0.226,1,purple
172,12.0,7.079,1.11,1.416,0.76,0.58,0.215,0.1,1,purple
173,13.0,7.072,1.01,1.459,0.817,0.632,0.143,0.101,1,purple
174,12.0,7.167,1.034,1.441,0.963,0.558,0.144,0.093,1,purple
175,62.0,5.759,1.083,0.796,0.788,0.259,0.024,0.054,2,dark purple
176,74.0,5.488,1.186,0.608,0.705,0.239,0.04,0.184,2,dark purple
177,77.0,5.293,1.223,0.968,0.701,0.256,0.248,0.043,2,dark purple
178,82.0,5.321,1.115,1.161,0.737,0.38,0.12,0.039,2,dark purple
179,75.0,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2,dark purple
180,67.0,5.689,1.208,0.893,0.924,0.407,0.061,0.306,2,dark purple
181,69.0,5.546,1.319,0.707,0.849,0.295,0.052,0.279,2,dark purple
182,65.0,5.621,1.356,1.131,0.845,0.355,0.271,0.041,2,dark purple
183,61.0,5.762,1.229,1.191,0.909,0.423,0.202,0.035,2,dark purple
184,49.0,6.046,1.263,1.223,1.042,0.406,0.19,0.041,1,purple
185,31.0,6.505,1.179,1.206,0.845,0.464,0.027,0.107,1,purple
186,27.0,6.596,1.309,1.008,0.764,0.414,0.04,0.099,1,purple
187,23.0,6.609,1.353,1.434,0.754,0.491,0.088,0.037,1,purple
188,21.0,6.711,1.233,1.489,0.854,0.543,0.064,0.034,1,purple
189,20.0,6.852,1.269,1.487,0.92,0.457,0.046,0.036,1,purple
190,3.0,7.527,1.325,1.361,0.875,0.649,0.484,0.341,1,purple
191,1.0,7.526,1.442,1.164,0.795,0.579,0.445,0.362,1,purple
192,2.0,7.522,1.482,1.551,0.793,0.626,0.355,0.401,1,purple
193,3.0,7.555,1.351,1.59,0.868,0.683,0.284,0.408,1,purple
194,2.0,7.6,1.383,1.573,0.996,0.592,0.252,0.41,1,purple
200,98.0,4.885,0.895,1.172,0.668,0.577,0.142,0.217,2,dark purple
201,89.0,5.155,1.028,0.995,0.577,0.523,0.124,0.213,2,dark purple
202,86.0,5.23,1.079,1.402,0.575,0.553,0.187,0.114,2,dark purple
203,83.0,5.302,0.982,1.441,0.614,0.578,0.12,0.106,2,dark purple
204,77.0,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2,dark purple
205,48.0,5.975,0.864,0.999,0.791,0.486,0.181,0.115,1,purple
206,51.0,5.976,0.973,0.86,0.686,0.403,0.18,0.101,1,purple
207,44.0,6.008,1.001,1.286,0.686,0.455,0.15,0.14,1,purple
208,48.0,5.973,0.889,1.33,0.736,0.556,0.114,0.12,1,purple
209,50.0,6.028,0.912,1.312,0.868,0.498,0.126,0.087,1,purple
210,135.0,4.194,0.882,0.747,0.617,0.173,0.063,0.113,0,pink
211,120.0,4.362,0.954,0.498,0.521,0.188,0.104,0.127,0,pink
212,104.0,4.735,0.99,0.997,0.52,0.282,0.129,0.114,2,dark purple
213,122.0,4.419,0.885,1.025,0.553,0.312,0.092,0.107,0,pink
214,137.0,4.166,0.913,1.039,0.644,0.241,0.076,0.067,0,pink
215,42.0,6.13,0.765,1.025,0.677,0.404,0.118,0.107,1,purple
216,46.0,6.068,0.874,0.81,0.596,0.373,0.106,0.089,1,purple
217,45.0,6.003,0.91,1.182,0.596,0.432,0.078,0.09,1,purple
218,40.0,6.167,0.806,1.231,0.639,0.461,0.065,0.082,1,purple
219,35.0,6.253,0.794,1.242,0.789,0.43,0.093,0.074,1,purple
220,73.0,5.429,1.152,1.228,0.774,0.449,0.152,0.087,2,dark purple
221,72.0,5.517,1.28,1.052,0.681,0.415,0.185,0.084,2,dark purple
222,66.0,5.611,1.321,1.477,0.695,0.479,0.099,0.183,2,dark purple
223,63.0,5.739,1.2,1.532,0.737,0.553,0.086,0.174,2,dark purple
224,55.0,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2,dark purple
225,122.0,4.512,0.191,0.604,0.441,0.435,0.15,0.243,0,pink
226,115.0,4.508,0.293,0.379,0.346,0.367,0.172,0.295,0,pink
227,119.0,4.46,0.339,0.865,0.353,0.409,0.313,0.165,0,pink
228,127.0,4.35,0.308,0.95,0.391,0.452,0.22,0.146,0,pink
229,134.0,4.286,0.336,1.033,0.532,0.344,0.209,0.1,0,pink
230,6.0,7.406,1.29,1.318,0.889,0.642,0.414,0.234,1,purple
231,5.0,7.413,1.406,1.135,0.811,0.571,0.41,0.255,1,purple
232,5.0,7.469,1.444,1.54,0.809,0.618,0.245,0.383,1,purple
233,1.0,7.632,1.305,1.592,0.874,0.681,0.202,0.393,1,purple
234,1.0,7.769,1.34,1.587,0.986,0.596,0.153,0.393,1,purple
235,29.0,6.575,1.278,1.26,0.946,0.55,0.206,0.123,1,purple
236,32.0,6.478,1.395,1.005,0.838,0.466,0.178,0.122,1,purple
237,31.0,6.442,1.431,1.388,0.844,0.47,0.13,0.173,1,purple
238,23.0,6.489,1.293,1.466,0.908,0.52,0.098,0.176,1,purple
239,24.0,6.592,1.324,1.472,1.045,0.436,0.111,0.183,1,purple
240,143.0,3.896,1.06,0.905,0.434,0.319,0.111,0.068,0,pink
241,134.0,4.121,1.159,0.724,0.349,0.281,0.093,0.062,0,pink
242,118.0,4.465,1.198,1.156,0.357,0.312,0.044,0.076,0,pink
243,103.0,4.758,1.036,1.164,0.404,0.356,0.032,0.052,2,dark purple
244,104.0,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2,dark purple
250,130.0,4.297,0.742,0.386,0.729,0.406,0.383,0.055,0,pink
251,126.0,4.252,0.838,0.192,0.64,0.325,0.319,0.068,0,pink
252,125.0,4.286,0.951,0.571,0.65,0.309,0.054,0.252,0,pink
253,128.0,4.34,0.853,0.592,0.643,0.375,0.038,0.215,0,pink
254,119.0,4.519,0.886,0.666,0.752,0.346,0.043,0.164,0,pink
255,26.0,6.75,1.328,1.299,0.892,0.615,0.218,0.282,1,purple
256,16.0,6.994,1.448,1.098,0.815,0.535,0.286,0.305,1,purple
257,16.0,6.951,1.488,1.473,0.799,0.563,0.336,0.277,1,purple
258,15.0,6.965,1.34,1.474,0.861,0.586,0.273,0.28,1,purple
259,17.0,6.985,1.373,1.454,0.987,0.495,0.261,0.265,1,purple
260,114.0,4.633,0.546,0.68,0.401,0.423,0.044,0.231,0,pink
261,124.0,4.276,0.631,0.494,0.297,0.41,0.033,0.212,0,pink
262,131.0,4.12,0.667,0.874,0.296,0.423,0.257,0.025,0,pink
263,108.0,4.657,0.592,0.896,0.337,0.499,0.212,0.029,0,pink
264,98.0,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2,dark purple
265,102.0,4.857,1.154,0.929,0.882,0.077,0.014,0.0,2,dark purple
266,99.0,5.033,1.249,0.755,0.8,0.058,0.041,0.0,2,dark purple
267,87.0,5.227,1.289,1.239,0.81,0.096,0.0,0.043,2,dark purple
268,79.0,5.358,1.154,1.202,0.879,0.131,0.0,0.044,2,dark purple
269,82.0,5.287,1.181,1.156,0.999,0.067,0.0,0.034,2,dark purple
270,43.0,6.123,0.746,1.044,0.644,0.577,0.095,0.275,1,purple
271,39.0,6.324,0.835,0.871,0.54,0.504,0.087,0.288,1,purple
