,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,Happiness Category
531,5.121,1.019,0.782,0.647,0.277,0.07,0.235,Moderately Happy
532,5.175,1.065,1.208,0.645,0.326,0.254,0.06,Moderately Happy
533,5.185,0.959,1.239,0.691,0.394,0.173,0.052,Moderately Happy
534,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Moderately Happy
535,5.695,1.208,1.07,0.924,0.49,0.143,0.262,Moderately Happy
536,5.771,1.311,0.818,0.841,0.436,0.166,0.263,Moderately Happy
537,5.81,1.347,1.186,0.835,0.471,0.267,0.155,Moderately Happy
538,5.835,1.229,1.211,0.909,0.495,0.179,0.154,Moderately Happy
539,5.718,1.263,1.252,1.042,0.417,0.191,0.162,Moderately Happy
540,7.522,1.459,1.331,0.885,0.67,0.365,0.347,Happy
541,7.498,1.577,1.127,0.796,0.596,0.358,0.379,Happy
542,7.537,1.616,1.534,0.797,0.635,0.362,0.316,Happy
543,7.594,1.456,1.582,0.861,0.686,0.286,0.34,Happy
544,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Happy
550,5.194,0.595,0.414,0.515,0.121,0.105,0.337,Moderately Happy
551,5.132,0.688,0.261,0.403,0.146,0.139,0.312,Moderately Happy
552,5.269,0.727,0.673,0.402,0.235,0.315,0.124,Moderately Happy
553,5.472,0.652,0.81,0.424,0.334,0.216,0.113,Moderately Happy
554,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Moderately Happy
555,4.715,0.599,0.926,0.66,0.245,0.129,0.113,Moderately Happy
556,4.754,0.67,0.716,0.568,0.177,0.106,0.112,Moderately Happy
557,4.775,0.716,1.156,0.566,0.255,0.114,0.089,Moderately Happy
558,4.743,0.642,1.217,0.602,0.266,0.086,0.076,Moderately Happy
559,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Moderately Happy
560,6.786,1.064,1.199,0.797,0.542,0.093,0.244,Happy
561,6.701,1.183,0.989,0.708,0.489,0.084,0.242,Happy
562,6.452,1.234,1.373,0.706,0.55,0.211,0.071,Happy
563,6.43,1.112,1.438,0.759,0.597,0.125,0.063,Happy
564,6.321,1.149,1.442,0.91,0.516,0.109,0.054,Happy
565,5.878,0.76,1.305,0.661,0.539,0.082,0.342,Moderately Happy
566,5.538,0.894,1.111,0.583,0.462,0.074,0.253,Moderately Happy
567,5.493,0.933,1.507,0.579,0.474,0.224,0.091,Moderately Happy
568,5.681,0.835,1.522,0.615,0.541,0.162,0.074,Moderately Happy
569,5.743,0.855,1.475,0.777,0.514,0.184,0.08,Moderately Happy
570,5.824,0.9,0.975,0.73,0.415,0.06,0.15,Moderately Happy
571,5.743,0.996,0.813,0.63,0.375,0.053,0.145,Moderately Happy
572,5.715,1.035,1.219,0.63,0.45,0.127,0.047,Moderately Happy
573,5.663,0.934,1.249,0.674,0.53,0.092,0.034,Moderately Happy
574,5.697,0.96,1.274,0.854,0.455,0.083,0.027,Moderately Happy
575,5.073,0.705,1.035,0.581,0.625,0.123,0.25,Moderately Happy
576,5.279,0.812,0.879,0.47,0.549,0.118,0.217,Moderately Happy
577,5.43,0.858,1.254,0.468,0.585,0.194,0.099,Moderately Happy
578,5.524,0.775,1.312,0.513,0.643,0.12,0.105,Moderately Happy
579,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Moderately Happy
580,5.791,1.126,1.279,0.779,0.531,0.042,0.168,Moderately Happy
581,5.835,1.246,1.047,0.691,0.452,0.055,0.144,Moderately Happy
582,5.973,1.292,1.446,0.699,0.52,0.158,0.059,Moderately Happy
583,6.123,1.176,1.448,0.781,0.546,0.108,0.064,Happy
584,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Happy
585,5.102,1.16,1.139,0.875,0.515,0.011,0.137,Moderately Happy
586,5.123,1.276,0.944,0.794,0.447,0.015,0.117,Moderately Happy
587,5.195,1.315,1.367,0.796,0.498,0.095,0.016,Moderately Happy
588,5.41,1.188,1.429,0.884,0.562,0.055,0.017,Moderately Happy
589,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Moderately Happy
595,6.611,1.69,1.079,0.797,0.64,0.522,0.326,Happy
596,6.375,1.824,0.88,0.717,0.567,0.48,0.324,Happy
597,6.375,1.871,1.274,0.71,0.604,0.33,0.439,Happy
598,6.374,1.649,1.303,0.748,0.654,0.256,0.171,Happy
599,6.374,1.684,1.313,0.871,0.555,0.22,0.167,Happy
600,5.124,1.043,0.886,0.769,0.351,0.006,0.137,Moderately Happy
601,5.528,1.17,0.728,0.676,0.367,0.007,0.129,Moderately Happy
602,5.825,1.218,1.15,0.685,0.457,0.134,0.004,Moderately Happy
603,5.945,1.116,1.219,0.726,0.528,0.088,0.001,Moderately Happy
604,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Happy
605,5.716,1.138,1.236,0.669,0.367,0.03,0.002,Moderately Happy
606,5.856,1.232,1.053,0.59,0.327,0.036,0.027,Moderately Happy
607,5.963,1.282,1.469,0.547,0.374,0.052,0.033,Moderately Happy
608,5.81,1.151,1.479,0.599,0.399,0.065,0.025,Moderately Happy
609,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Moderately Happy
610,3.465,0.222,0.774,0.429,0.592,0.552,0.226,Not Happy
611,3.515,0.328,0.616,0.319,0.543,0.505,0.236,Not Happy
612,3.471,0.369,0.946,0.326,0.582,0.253,0.455,Not Happy
613,3.408,0.332,0.896,0.4,0.636,0.2,0.444,Not Happy
614,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Not Happy
615,6.411,1.395,1.084,0.72,0.31,0.325,0.137,Happy
616,6.379,1.49,0.848,0.593,0.379,0.3,0.155,Happy
617,6.344,1.531,1.287,0.59,0.45,0.148,0.273,Happy
618,6.371,1.379,1.331,0.633,0.509,0.098,0.127,Happy
619,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Happy
620,3.904,0.365,0.976,0.435,0.368,0.107,0.208,Not Happy
621,4.219,0.443,0.774,0.405,0.311,0.117,0.191,Moderately Happy
622,4.535,0.479,1.18,0.409,0.378,0.183,0.115,Moderately Happy
623,4.631,0.429,1.117,0.433,0.406,0.138,0.082,Moderately Happy
624,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Moderately Happy
625,5.123,0.921,1.01,0.748,0.201,0.026,0.192,Moderately Happy
626,5.177,1.034,0.813,0.646,0.157,0.043,0.207,Moderately Happy
627,5.395,1.069,1.258,0.651,0.209,0.22,0.041,Moderately Happy
628,5.398,0.975,1.369,0.685,0.288,0.134,0.043,Moderately Happy
629,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Moderately Happy
630,4.507,0.33,0.956,0.0,0.408,0.088,0.215,Moderately Happy
631,4.635,0.365,0.628,0.0,0.307,0.082,0.239,Moderately Happy
632,4.709,0.368,0.984,0.006,0.319,0.293,0.071,Moderately Happy
633,4.571,0.256,0.813,0.0,0.355,0.238,0.053,Moderately Happy
634,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Moderately Happy
635,6.798,1.522,1.02,1.025,0.543,0.492,0.311,Happy
636,6.739,1.646,0.868,0.947,0.488,0.47,0.327,Happy
637,6.572,1.692,1.354,0.949,0.55,0.346,0.464,Happy
638,6.343,1.529,1.451,1.008,0.631,0.261,0.457,Happy
639,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Happy
640,5.995,1.169,1.27,0.789,0.318,0.034,0.169,Moderately Happy
641,6.078,1.28,1.083,0.704,0.234,0.029,0.138,Happy
642,6.098,1.325,1.505,0.713,0.296,0.137,0.024,Happy
643,6.173,1.21,1.537,0.776,0.354,0.118,0.014,Happy
644,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Happy
645,5.848,1.185,1.274,0.873,0.609,0.038,0.253,Moderately Happy
646,5.768,1.299,1.056,0.792,0.532,0.036,0.257,Moderately Happy
647,5.758,1.341,1.453,0.791,0.573,0.243,0.045,Moderately Happy
648,5.948,1.219,1.506,0.856,0.633,0.16,0.051,Moderately Happy
649,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Happy
650,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,Moderately Happy
651,5.44,0.0,0.336,0.115,0.568,0.312,0.272,Moderately Happy
652,5.151,0.023,0.721,0.114,0.602,0.292,0.282,Moderately Happy
653,4.982,0.0,0.712,0.115,0.674,0.238,0.282,Moderately Happy
654,4.668,0.0,0.698,0.268,0.559,0.243,0.27,Moderately Happy
660,4.642,0.92,1.185,0.277,0.332,0.089,0.12,Moderately Happy
661,4.459,1.024,0.961,0.186,0.425,0.084,0.137,Moderately Happy
662,4.829,1.055,1.385,0.187,0.479,0.139,0.073,Moderately Happy
663,4.724,0.94,1.41,0.33,0.516,0.103,0.056,Moderately Happy
664,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Moderately Happy
665,5.984,1.245,0.958,0.965,0.332,0.079,0.186,Moderately Happy
666,5.835,1.359,0.722,0.886,0.252,0.077,0.188,Moderately Happy
667,5.838,1.402,1.128,0.9,0.258,0.207,0.063,Moderately Happy
668,5.875,1.266,1.204,0.955,0.244,0.175,0.051,Moderately Happy
669,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Moderately Happy
670,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,Moderately Happy
671,3.832,0.394,0.185,0.158,0.197,0.13,0.259,Not Happy
672,3.591,0.397,0.601,0.163,0.147,0.286,0.117,Not Happy
673,3.254,0.337,0.608,0.177,0.112,0.224,0.106,Not Happy
674,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Not Happy
675,6.329,1.23,1.314,0.956,0.46,0.064,0.182,Happy
676,6.361,1.343,1.129,0.879,0.375,0.061,0.177,Happy
677,6.403,1.384,1.532,0.889,0.409,0.19,0.071,Happy
678,6.31,1.251,1.538,0.965,0.449,0.142,0.074,Happy
679,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Happy
680,4.271,0.835,1.019,0.708,0.537,0.092,0.408,Moderately Happy
681,4.415,0.973,0.848,0.62,0.508,0.08,0.47,Moderately Happy
682,4.44,1.01,1.26,0.625,0.561,0.491,0.074,Moderately Happy
683,4.471,0.918,1.314,0.672,0.585,0.307,0.05,Moderately Happy
684,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Moderately Happy
685,4.55,0.521,1.014,0.369,0.101,0.147,0.191,Moderately Happy
686,4.139,0.631,0.819,0.298,0.0,0.1,0.181,Moderately Happy
687,4.139,0.66,1.214,0.291,0.015,0.182,0.09,Moderately Happy
688,4.139,0.605,1.24,0.312,0.016,0.134,0.082,Moderately Happy
689,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,Moderately Happy
700,7.364,1.332,1.289,0.911,0.66,0.438,0.363,Happy
701,7.291,1.452,1.088,0.831,0.582,0.409,0.383,Happy
702,7.284,1.494,1.478,0.831,0.613,0.385,0.384,Happy
703,7.314,1.355,1.501,0.913,0.659,0.285,0.383,Happy
704,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Happy
705,7.587,1.397,1.35,0.941,0.666,0.42,0.297,Happy
706,7.509,1.527,1.145,0.863,0.586,0.412,0.281,Happy
707,7.494,1.565,1.517,0.858,0.62,0.291,0.367,Happy
708,7.487,1.42,1.549,0.927,0.66,0.256,0.357,Happy
709,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Happy
710,3.006,0.663,0.475,0.722,0.157,0.189,0.472,Not Happy
711,3.069,0.747,0.149,0.63,0.069,0.172,0.484,Not Happy
712,3.462,0.777,0.396,0.501,0.082,0.494,0.151,Not Happy
713,3.462,0.689,0.382,0.539,0.088,0.376,0.144,Not Happy
714,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Not Happy
715,6.298,1.291,1.076,0.875,0.397,0.081,0.254,Happy
716,6.379,1.397,0.926,0.796,0.324,0.066,0.255,Happy
717,6.422,1.434,1.385,0.794,0.361,0.258,0.064,Happy
718,6.441,1.365,1.436,0.857,0.418,0.151,0.078,Happy
719,6.446,1.368,1.43,0.914,0.351,0.242,0.097,Happy
720,4.786,0.39,0.856,0.574,0.472,0.151,0.23,Moderately Happy
721,4.996,0.488,0.756,0.531,0.434,0.135,0.26,Moderately Happy
722,5.041,0.525,1.271,0.529,0.472,0.249,0.146,Moderately Happy
723,5.199,0.474,1.166,0.598,0.292,0.187,0.034,Moderately Happy
724,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Moderately Happy
725,3.781,0.285,1.003,0.382,0.329,0.057,0.344,Not Happy
726,3.666,0.472,0.776,0.357,0.318,0.051,0.315,Not Happy
727,3.349,0.511,1.042,0.365,0.39,0.354,0.066,Not Happy
728,3.303,0.455,0.991,0.381,0.481,0.27,0.097,Not Happy
729,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Not Happy
730,6.455,0.967,1.265,0.739,0.557,0.032,0.576,Happy
731,6.474,1.089,1.045,0.649,0.496,0.028,0.587,Happy
732,6.424,1.128,1.426,0.647,0.58,0.572,0.032,Happy
733,6.072,1.016,1.417,0.707,0.637,0.364,0.029,Happy
734,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Happy
735,2.839,0.209,0.14,0.284,0.365,0.107,0.167,Not Happy
736,3.303,0.281,0.0,0.248,0.347,0.116,0.175,Not Happy
737,3.495,0.305,0.432,0.247,0.38,0.197,0.096,Not Happy
738,3.999,0.259,0.474,0.253,0.434,0.158,0.101,Not Happy
739,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Moderately Happy
740,6.168,1.212,1.184,0.615,0.559,0.011,0.318,Happy
741,6.168,1.326,0.986,0.526,0.485,0.012,0.319,Happy
742,6.168,1.361,1.38,0.52,0.519,0.325,0.009,Happy
743,6.192,1.223,1.492,0.564,0.575,0.171,0.019,Happy
744,6.192,1.231,1.477,0.713,0.489,0.185,0.016,Happy
745,4.739,0.881,0.604,0.738,0.263,0.064,0.064,Moderately Happy
746,5.045,0.977,0.432,0.596,0.236,0.082,0.039,Moderately Happy
747,4.805,1.007,0.868,0.613,0.29,0.05,0.087,Moderately Happy
748,4.592,0.9,0.906,0.69,0.271,0.04,0.063,Moderately Happy
749,4.461,0.921,1.0,0.815,0.167,0.059,0.055,Moderately Happy
750,5.332,1.061,0.946,0.732,0.228,0.157,0.123,Moderately Happy
751,5.389,1.165,0.877,0.647,0.239,0.123,0.047,Moderately Happy
752,5.5,1.198,1.338,0.638,0.301,0.047,0.1,Moderately Happy
753,5.483,1.148,1.38,0.686,0.324,0.106,0.109,Moderately Happy
754,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Moderately Happy
755,5.548,0.958,1.227,0.539,0.476,0.308,0.17,Moderately Happy
756,5.658,1.08,1.038,0.44,0.374,0.285,0.226,Moderately Happy
757,5.822,1.131,1.493,0.438,0.418,0.25,0.259,Moderately Happy
758,5.636,1.016,1.533,0.517,0.417,0.199,0.037,Moderately Happy
759,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Moderately Happy
760,3.931,0.211,1.133,0.339,0.457,0.073,0.291,Not Happy
761,3.739,0.347,0.91,0.196,0.437,0.064,0.271,Not Happy
762,4.081,0.381,1.13,0.218,0.443,0.326,0.057,Moderately Happy
763,4.161,0.322,1.09,0.237,0.45,0.259,0.061,Moderately Happy
764,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Moderately Happy
765,4.681,0.799,1.203,0.674,0.251,0.03,0.153,Moderately Happy
766,4.324,0.873,1.014,0.586,0.129,0.018,0.204,Moderately Happy
767,4.096,0.895,1.395,0.576,0.123,0.27,0.023,Moderately Happy
768,4.103,0.793,1.413,0.609,0.163,0.187,0.011,Moderately Happy
769,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Moderately Happy
770,6.901,1.427,1.126,0.809,0.642,0.386,0.264,Happy
771,6.573,1.574,0.871,0.73,0.562,0.356,0.266,Happy
772,6.648,1.626,1.266,0.727,0.608,0.361,0.324,Happy
773,6.774,2.096,0.776,0.67,0.284,0.186,0.127,Happy
774,6.825,1.503,1.31,0.825,0.598,0.262,0.182,Happy
775,6.867,1.266,1.285,0.909,0.596,0.321,0.519,Happy
776,6.725,1.403,1.087,0.81,0.5,0.274,0.502,Happy
777,6.714,1.442,1.496,0.805,0.508,0.493,0.265,Happy
778,7.19,1.244,1.433,0.888,0.464,0.262,0.082,Happy
779,7.054,1.333,1.538,0.996,0.45,0.348,0.278,Happy
780,7.119,1.395,1.247,0.862,0.546,0.159,0.401,Happy
781,7.104,1.508,1.048,0.779,0.482,0.149,0.411,Happy
782,6.993,1.546,1.42,0.774,0.506,0.393,0.136,Happy
783,6.886,1.398,1.471,0.819,0.547,0.291,0.133,Happy
784,6.892,1.433,1.457,0.874,0.454,0.28,0.128,Happy
785,6.485,1.062,1.209,0.812,0.604,0.246,0.232,Happy
786,6.545,1.182,1.031,0.722,0.544,0.214,0.181,Happy
787,6.454,1.218,1.412,0.719,0.579,0.175,0.178,Happy
788,6.379,1.093,1.459,0.771,0.625,0.13,0.155,Happy
789,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Happy
790,6.003,0.632,1.34,0.598,0.658,0.308,0.228,Happy
791,5.987,0.736,1.168,0.502,0.608,0.283,0.343,Moderately Happy
792,5.971,0.786,1.549,0.498,0.658,0.416,0.247,Moderately Happy
793,6.096,0.719,1.584,0.605,0.724,0.328,0.259,Happy
794,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Happy
795,6.81,1.044,1.256,0.721,0.429,0.111,0.058,Happy
796,6.084,1.134,1.033,0.619,0.198,0.083,0.043,Happy
797,5.25,1.128,1.431,0.617,0.154,0.065,0.064,Moderately Happy
798,4.806,0.996,1.469,0.657,0.133,0.056,0.052,Moderately Happy
799,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Moderately Happy
800,5.36,0.632,0.912,0.747,0.594,0.104,0.169,Moderately Happy
801,5.061,0.74,0.791,0.662,0.56,0.116,0.251,Moderately Happy
802,5.074,0.789,1.277,0.652,0.571,0.235,0.088,Moderately Happy
803,5.103,0.715,1.365,0.702,0.618,0.177,0.079,Moderately Happy
804,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Moderately Happy
805,4.077,0.546,0.681,0.401,0.356,0.079,0.091,Moderately Happy
806,3.724,0.579,0.475,0.31,0.229,0.059,0.098,Not Happy
807,3.593,0.592,0.935,0.31,0.249,0.104,0.057,Not Happy
808,3.355,0.442,1.073,0.343,0.244,0.083,0.064,Not Happy
809,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Not Happy
810,5.129,0.47,0.916,0.299,0.488,0.125,0.196,Moderately Happy
811,4.795,0.612,0.638,0.236,0.427,0.115,0.179,Moderately Happy
812,4.514,0.636,1.003,0.258,0.462,0.25,0.078,Moderately Happy
813,4.377,0.562,1.047,0.295,0.503,0.221,0.082,Moderately Happy
814,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Moderately Happy
815,4.61,0.271,1.033,0.335,0.259,0.081,0.19,Moderately Happy
816,4.193,0.35,0.715,0.16,0.254,0.086,0.185,Moderately Happy
817,3.875,0.376,1.083,0.197,0.336,0.189,0.095,Not Happy
818,3.692,0.357,1.094,0.248,0.406,0.132,0.099,Not Happy
819,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Not Happy
